web-scraper-order,web-scraper-start-url,name,name-href,imgs-src,desc,sunlight,soil,maintenance,characteristics
1520335651-7285,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Iris, Dwarf Dutch",http://www.gardening.cornell.edu/homegardening/scenee07d.html,images/garden/photos_garden/Iridaceae/Iris/reticulata/whole_thumb.jpg,"Small but showy, Dwarf Dutch Iris bears 3-inch-wide blooms in late winter and early spring. The blooms are varying shades of purple, with yellow markings.",full sun,requires well-drained soil,"After spring flowering, fertilize the plants with high phosphorus fertilizer. Dig the bulbs in midsummer to fall, seperating and replanting seperately any that have split.



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Iran, Iraq, Turkey, Caucasus region



	



	fragrant



	 - Blooms are sweetly fragrant.



	



	



	



	Special uses:"
1520335637-7278,http://www.gardening.cornell.edu/homegardening/scenee139.html,Jacob’s Rod,http://www.gardening.cornell.edu/homegardening/sceneef04.html,images/garden/photos_garden/Liliaceae/Asphodeline/lutea/flower_thumb.jpg,"Erect spires of starry yellow blooms up to 5 feet tall make this plant striking.  Only hardy to Zone 6, it needs well-drained soil and prefers full sun.",full sun,requires well-drained soil,"Mulch in fall to provide winter protection where marginally hardy.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to the Mediterranean



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	



	



	edible landscaping - The ancient Greeks commonly ate the boiled and mashed nutty tasting roots of this plant."
1520335417-7171,http://www.gardening.cornell.edu/homegardening/scenee139.html,Verbena,http://www.gardening.cornell.edu/homegardening/scene613a.html,images/garden/photos_garden/Verbenaceae/Verbena/x_hybrida/upright/whole_thumb.jpg,"Brightly colored flowers in dense, flat flower heads offset the dark green foliage of this classic garden border plant.  Trailing varieties are great in hanging baskets.  Tolerates dry soil.",full sun,tolerates droughty soil,"Pinch back to keep bushy. Deadhead to prolong bloom.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Hybrid with parents native to Central and South America.



	



	



	



	







	Attracts:



	



	



	butterflies



	



	hummingbirds



	



	



	



	Special uses:



	



	



	cut flowers"
1520335649-7284,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Iris, Japanese",http://www.gardening.cornell.edu/homegardening/scene7852.html,images/garden/photos_garden/Iridaceae/Iris/ensata/whole_thumb.jpg,"More than just beautiful flowering plants, Japanese Irises are an artform. For over 500 years, Japanese horticulturalists have developed exquisite hybrids of this species.  Great for damp sites.",full sun,requires acid soil,"Maintain acid soil pH. Divide every 3 to 4 years in fall. 



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Japan.



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	



	



	







	



	



	bog garden"
1520335483-7203,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Spurge, Myrtle",http://www.gardening.cornell.edu/homegardening/scene7e2c.html,images/garden/photos_garden/Euphorbiaceae/Euphorbia/myrsinites/whole_thumb.jpg,"Fleshy, blue-gray, evergreen leaves spiral up the trailing stems that bear bright yellow-green flowerheads from mid-spring to summer.  Great for dry sites.",full sun,tolerates droughty soil,"Remove spent flowers immediately to prevent self-seeding. Allow evergreen foliage to remain for the winter. Mulch in colder areas. Prefers a protected site for maximum hardiness.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Self-seeds freely.



		non-invasive



		



		



	



	not native to North America



	 - Native to Asia Minor, central Asia and eastern and southern Europe



	evergreen



	 - Foliage quality declines in cold winters, especially when exposed to wind."
1520335668-7293,http://www.gardening.cornell.edu/homegardening/scenee139.html,Hyacinth Bean,http://www.gardening.cornell.edu/homegardening/sceneba33.html,images/garden/photos_garden/Fabaceae/Lablab/purpureus/whole_thumb.jpg,"Hyacinth Bean provides both privacy and beauty, growing quickly to form dense screens of colorful foliage covered with fragrant purple blooms and equally showy purple pods.",full sun,requires well-drained soil,"Train on trellis or other support. Avoid high nitrogen fertilizers, as these will inhibit flowering.Plants grow well on some sites but not others.  If at first you don't succeed, keep trying.  It's a show-stopper when it thrives.



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Tropical Africa



	



	fragrant



	



	bears ornamental fruit



	 - The flowers are followed by showy, pendulous purple seed pods.



	



	



	Special uses:



	



	



	



	



	



	edible landscaping - All of the plant parts are edible.



	



	



	direct-seeding"
1520335501-7212,http://www.gardening.cornell.edu/homegardening/scenee139.html,Snapdragon,http://www.gardening.cornell.edu/homegardening/scene95d7.html,images/garden/photos_garden/Scrophulariaceae/Antirrhinum/majus/whole_thumb.jpg,"Easy to grow from seed, snapdragons have spiked flowers that mingle well in the garden. Flowers may be classic (having two puffed petals that look like stacked berets) or azalea-flowered (fringed or ruffled).  They often overwinter in protected areas up to Zone 5, and bloom best in cool weather well into fall.",full sun,requires well-drained soil,"Pinch tips when plants are 2 to 4 inches tall to produce more flower spikes. Cutting flowers as they mature will encourage plants to produce more flowers later in the season. Deadhead to prolong flowering.  Tall varieties may require staking, but other plants may provide support in a planting with mixed flowers. 



	



	



	","Tolerates:



	



	



	frost



	



	



		



		



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Mediterranean



	



	fragrant



	



	



	



	



	Special uses:



	



	



	cut flowers - The Rocket series is particularly good as cut flowers."
1520335653-7286,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Iris, Dwarf Crested",http://www.gardening.cornell.edu/homegardening/sceneeb43.html,images/garden/photos_garden/Iridaceae/Iris/cristata/flower_thumb.jpg,"A delicate native of North American woodlands, Dwarf Crested Iris forms carpets of 6-inch tall plants. The spring flowers come in a wide variety of purple shades, with white and yellow markings.",full sun,requires well-drained soil,"Divide every 3 to 4 years after flowering.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	native to North America



	 - Northeastern U.S."
1520335415-7170,http://www.gardening.cornell.edu/homegardening/scenee139.html,Vinca,http://www.gardening.cornell.edu/homegardening/sceneff1b.html,images/garden/photos_garden/Apocynaceae/Catharanthus/roseus/whole_thumb.jpg,"The source of an invaluable cancer treatment drug, Madagascar Periwinkle is also a garden hit with its glossy green foliage and dainty 5-petaled flowers in shades of pink and white. Good annual flower for part shade.",full sun,tolerates droughty soil,"Pinch back the plants to keep bushy.



	



	



	","Tolerates:



	



	



		



		



	



	heat



	



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Africa"
1520335450-7187,http://www.gardening.cornell.edu/homegardening/scenee139.html,Tuberous Begonia (upright cultivars),http://www.gardening.cornell.edu/homegardening/scenef2e2.html,images/garden/photos_garden/Begoniaceae/Begonia/x_tuberhybrida/upright_cultivars/whole_thumb.jpg,"Showy and colorful, Tuberous Begonias add tropical sunshine to the summer garden. These frost-tender plants are available in a wide array of bright flower colors and attractive foliage hues.  Best grown sheltered from direct sun and wind.",part shade,requires well-drained soil,"Water without wetting leaves to prevent foliar disease. In early fall, before frost danger, gently remove the tubers from their beds, cut off the foliage, and place the plants, their roots still covered with soil, in a cool, well-ventilated location until spring.



	



	



	



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection, parent material native to South America."
1520336206-7327,http://www.gardening.cornell.edu/homegardening/scenee139.html,Echinacea (coneflower),http://www.gardening.cornell.edu/homegardening/scene1d08.html,images/garden/photos_garden/Asteraceae/Echinacea/purpurea/flower_thumb.jpg,"This easy-to-grow, popular North American native bears striking, rich rosy-pink, daisy-like flowers in summer that attract butterflies.  Plants are heat- and drought-tolerant, and blooms are used for cut- and dried-flower arrangements.  The drug Echinacea, used to boost the immune system, comes from this genus.",full sun,tolerates droughty soil,"Deadhead to prolong flowering, prevent self seeding and focus attention on peaking flowers. If desired, leave fall blooms on the plant to form seedheads for winter interest. This will attract birds, but also results in prodigeous self-seeding.To encouraged delayed blooming for fall enjoyment, cut plants back by half in early summer or cut back by 1 foot when coming into bloom. For maximum bloom period, cut back some plants in the garden as described, and leave others to flower at their normal earlier time.Seldom needs division. Roots don't like to be disturbed.




	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Self-sows prolifically if seedheads are allowed to develop.



		non-invasive



		



		



	



	native to North America



	 - Central U.S.



	



	



	



	







	Attracts:



	



	beneficial insects



	 - Including beneficial soldier beetles in late summer.



	butterflies



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - The seed heads used in arrangements.



	



	



	



	



	







	



	wildflowers



	



	



		



	



	naturalistic garden"
1520335458-7191,http://www.gardening.cornell.edu/homegardening/scenee139.html,Torenia,http://www.gardening.cornell.edu/homegardening/scene4723.html,images/garden/photos_garden/Scrophulariaceae/Torenia/fournieri/whole_thumb.jpg,"This annual features colorful, Gloxinia-like flowers in shades of pink, white and purple.  Plants bloom prolifically into the fall and have an almost dwarf-shrub-like form. It gets its common name Wishbone Flower from its two stamens, which touch at the top to form a wishbone shape.",part shade,requires well-drained soil,"Pinch the plants back to keep them bushy.



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Asia and Africa.



	



	



	



	







	Attracts:



	



	



	



	hummingbirds"
1520335620-7270,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lavender Mist,http://www.gardening.cornell.edu/homegardening/scene1773.html,images/garden/photos_garden/Ranunculaceae/Thalictrum/rochebruneanum/flower_thumb.jpg,"Its delicate, dense clouds of tiny purple flowers give this perennial its common name of Lavender Mist. The foliage is lacy and dainty as well.",full sun,requires well-drained soil,"Keep soil moist but not soggy. Mulch in colder climates.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Japan."
1520337167-7343,http://www.gardening.cornell.edu/homegardening/scenee139.html,Daffodil (hoop-petticoat),http://www.gardening.cornell.edu/homegardening/scenee916.html,images/garden/photos_garden/Amaryllidaceae/Narcissus/bulbocodium/whole_thumb.jpg,"Perfect for naturalizing in grassy areas, Hoop-petticoat Daffodils are deer-resistant, small (6 inches or less) and bear bright yellow blooms with large cups and tiny, pointed perianths.",full sun,requires well-drained soil,"Deadhead the plants to keep appearance tidy. Do not cut back the plants until the foliage begins to fade (about 6 weeks). Apply low-nitrogen, high-potassium fertilizer after blooming if bloom performance was poor.



	



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Iberian Peninsula, North Afria, southern France."
1520335631-7275,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lady's Mantle,http://www.gardening.cornell.edu/homegardening/scene5d03.html,images/garden/photos_garden/Rosaceae/Alchemilla/sp/(Alchemilla_vulgaris_Alchemilla_mollis)/whole_thumb.jpg,"Both species of this historic medicinal herb produce attractive, low-growing plants for border and rock garden planting.  Flower stems arch above foliage in early June through July.",full sun,requires well-drained soil,"Deadhead flowers to prevent self seeding.Cutting back and watering in summer can produce new fall growth.Lime should be added if soil tends to be acid.




	



	","Tolerates:



	



	



	frost



	



	



		



		



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		 - Self seeds, but not hard to control.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe.



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - Fine inflorescence texture makes an excellent dried flower."
1520335680-7299,http://www.gardening.cornell.edu/homegardening/scenee139.html,Hollyhock,http://www.gardening.cornell.edu/homegardening/scene3280.html,images/garden/photos_garden/Malvaceae/Alcea/rosea/whole_thumb.jpg,"This biennial has tall spikes of single or double brightly colored flowers.  Can be direct seeded (not flowering until the second year), and self-seeds so readily that it appears to be a perennial once established in the garden.",full sun,requires well-drained soil,"May require staking, especially in rich soils.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Self-seeds prolifically.



		non-invasive



		



		



	



	not native to North America



	 - Native to China.



	



	



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335622-7271,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lavender Cotton,http://www.gardening.cornell.edu/homegardening/scene9aa6-2.html,images/garden/photos_garden/Asteraceae/Santolina/chamaecyperissus/whole_thumb.jpg,"Valued for its silver-gray foliage, compact growth habit and bright yellow flowers, this shrubby evergreen is used often as a clipped, low formal hedge, edging, and groundcover.  Only hardy to Zone 6.",full sun,tolerates droughty soil,"Plants are very tolerant of shearing at the proper time. If grown in less exposed areas they can be lightly trimmed in the fall, otherwise they must be cut back in early spring.  If cut back too late in the spring plants will not flower that season.  But some don't care for the flowers and trim plants through summer to maintain a well-groomed appearance.To prevent plants from getting leggy, trim back to 6 inches every 2 or 3 years.Do not prune hard in late summer or fall as plants need time to harden off for winter.Mulch to protect plants overwinter.Lavender cotton can be grown as a ground cover and makes a good companion plant for roses.



	



	","Tolerates:



	



	



		



	



	salt



	



		



		



	







	







	Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Spain to Dalmatia, Yugoslavia and northern Africa.




	evergreen



	 - Semi-evergreen to nearly evergreen.




	fragrant



	 - Flowers have a fairly unpleasant scent.  Bruised leaves are pleasantly camphor- and resinous-scented.



	



	



	



	Special uses:"
1520335464-7194,http://www.gardening.cornell.edu/homegardening/scenee139.html,Tansy,http://www.gardening.cornell.edu/homegardening/scene6aab.html,images/garden/photos_garden/Asteraceae/Tanacetum/vulgare/whole_thumb.jpg,"Button-shaped yellow flowerheads dot the tops of 3-foot-tall plants that are at home in borders, cottage gardens, meadows or naturalistic plantings.  Foliage is ferny, and plants spread by underground rhizomes, though not too aggressively.",full sun,tolerates droughty soil,"Stems may require staking if they get too leggy.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Only moderately aggressive, spreading by rhizomes and self-seeding. 



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe and Asia but widely naturalized in North America.




	



	fragrant



	 - Flowers are scented and the leaves have a pungent camphor scent.




	



	



	



	Special uses:



	



	



	



	dried flowers - Both leaves and flowers used in arrangements."
1520335702-7310,http://www.gardening.cornell.edu/homegardening/scenee139.html,Geum,http://www.gardening.cornell.edu/homegardening/scenef4fb.html,images/garden/photos_garden/Rosaceae/Geum/quellyon/whole_thumb.jpg,"Geum is prized for its handsome hairy foliage and striking spring blooms in shades of yellow, orange and red. The 2-foot-tall plants require full sun and excellent drainage.  Dislikes temperature extremes and tends to be short-lived.",full sun,requires well-drained soil,"May require staking. Deadhead to prolong flowering.Keep moist and protect from hot afternoon sun during summer.  Provide excellent drainage during winter.Divide annually or biennially to maintain vigor and health.  New plants or divisions flower better than old plants.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Chile.



	evergreen



	 - Semi-evergreen, retaining foliage well into winter.



	



	bears ornamental fruit



	 - Attractive fluffy seedheads."
1520338068-7358,http://www.gardening.cornell.edu/homegardening/scenee139.html,Coleus,http://www.gardening.cornell.edu/homegardening/scened7dc.html,images/garden/photos_garden/Lamiaceae/Solenostemon/scutellarioides/leaf_thumb.jpg,"Excellent as a border in shady areas or interspersed with shade-tolerant perennials that bloom for only a short time.  Coleus commands attention with brightly colored, boldly patterned leaves in shades of red, orange, yellow, green, pink, purple, and white.",part shade,requires well-drained soil,"Pinch off flowers as soon as they appear to keep plant compact and bushy. Regularly pinch back tips to keep bushy. Keep moist but not wet.  Expect Coleus to be one of the first plants killed back by fall frosts.



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Java."
1520335433-7179,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Lily-Flowered cultivars",http://www.gardening.cornell.edu/homegardening/scenec31f.html,images/garden/photos_garden/Liliaceae/Tulipa/sp/lily_flowered_cultivars/whole_thumb.jpg,"Lily-Flowered Tulips have showy, elongated goblet-shaped blooms with petals tapering to thin points. They may be a single color, or vividly marked with stripes, flames, feathers, or colored margins.",full sun,requires well-drained soil,"Remove faded flowers, and do not remove the foliage until it has yellowed and begun to die back (up to 6 weeks). These tulips do not perform well in Zones 7 to 9. To grow in these Zones, purchase cold-treated bulbs and grow as annuals. A few cultivars are suited to perennial warmer growth. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335503-7213,http://www.gardening.cornell.edu/homegardening/scenee139.html,Skunk Cabbage,http://www.gardening.cornell.edu/homegardening/scene9e3b.html,images/garden/photos_garden/Araceae/Symplocarpus/foetidus/whole_thumb.jpg,"Because of its skunk-like odor, this native is best planted in boggy naturalistic areas away from the home.  Blooms very early, often while snow is still on the ground, generating its own heat to melt the snow.",full sun,requires damp soil,"Keep soil moist and boggy.



	



	



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	native to North America



	 - Native to boggy areas in eastern North America



	



	fragrant



	 - Flowers and foliage have an odor resembling that of a skunk.



	



	



	



	Special uses:



	



	



	



	



	



	







	



	wildflowers



	



	



	



	bog garden



	



		



	



	naturalistic garden"
1520335618-7269,http://www.gardening.cornell.edu/homegardening/scenee139.html,Leadwort,http://www.gardening.cornell.edu/homegardening/scenea5d2-2.html,images/garden/photos_garden/Plumbaginaceae/Ceratostigma/plumbaginoides/whole_thumb.jpg,"Late- and long-flowering, this low-growing, mat-forming perennial has glossy green leaves and showy deep blue flowers that bloom in late summer and fall.  Needs winter protection in Zone 5.",full sun,tolerates droughty soil,"Do not prune in fall.  Plants are late to emerge in spring, so leave old stems to mark spot until new growth appears.Spreads by underground rhizomes, and can be agggressive.  Divide in spring to limit spreading.Marginally hardy in Zone 5.  Make sure soil is well-drained and mulch to provide winter protection.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - Spreads rapidly and can choke out less aggressive species.



		non-invasive



		



		



	



	not native to North America



	 - Native to China."
1520335421-7173,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip Lily, Turkish",http://www.gardening.cornell.edu/homegardening/scene747b.html,images/garden/photos_garden/Liliaceae/Tulipa/acuminata/whole_thumb.jpg,"Exotic and unusual, the Turkish Tulip Lily has showy blooms with long, thin, pointed red and yellow petals. A unique and uncommon addition to the bulb garden.",full sun,requires well-drained soil,"Remove faded flowers after blooming. After spring blooming, allow the foliage to die back (about 6 weeks) before cutting back. Do not cut back unfaded foliage. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Turkey"
1520335846-7321,http://www.gardening.cornell.edu/homegardening/scenee139.html,Foxglove,http://www.gardening.cornell.edu/homegardening/scenec1a6.html,images/garden/photos_garden/Scrophulariaceae/Digitalis/purpurea/whole_thumb.jpg,"With rich, moist but well-drained soil and partial shade, this garden classic will produce spikes up to 5 feet tall of dainty, two-lipped blooms.  'Foxy' hybrids will bloom the first year from seed.  With most other varieties, you can stretch their biennial nature and get them to flower an additional year or so.",full sun,requires well-drained soil,"May require staking. Keep soil moist but not soggy.Deadhead when about three-fourths of the flower spike has faded.  Cut back to basal rosettes after flowering has finished.  Leave a few flower spikes if you want plants to reseed.To encourage plants to flower again the following year, cut the flower spikes back before seeds set. Then dig plant and replant new rosettes. 



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Foxgloves self-seeds prolifically.



		non-invasive



		



		



	



	not native to North America



	 - Native to woodland edges in Europe and northern Africa.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335470-7197,http://www.gardening.cornell.edu/homegardening/scenee139.html,Sweet Alyssum,http://www.gardening.cornell.edu/homegardening/scened548.html,images/garden/photos_garden/Brassicaceae/Lobularia/maritima/whole_thumb.jpg,This fragrant plant is valued for its dainty foliage and tiny white flowers. Its creeping habit makes it very useful for edging and for filling in gaps in pathways and stone walls.  Easy to start and get to flower even if planted as late as July.,full sun,requires damp soil,"Trim to encourage flowering.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		



		non-invasive



		



		



	



	not native to North America



	



	



	fragrant



	



	



	







	Attracts:



	



	



	butterflies



	



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335440-7182,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Greigii cultivars",http://www.gardening.cornell.edu/homegardening/scene6aab-2.html,images/garden/photos_garden/Liliaceae/Tulipa/sp/Greigii_cultivars/flower_thumb.jpg,"Greigii Tulips are small (just 6 to 12 inches tall) but striking, with cup-shaped blooms. They may be a single color, or vividly marked with stripes, flames, feathers, or colored margins. The foliage is also showy, with purple or maroon striping and markings.  They are at home in the border or rock garden.",full sun,requires well-drained soil,"Remove faded flowers, and do not remove the foliage until it has yellowed and begun to die back (up to 6 weeks). These tulips do not perform well in Zones 7 to 9. To grow in these Zones, purchase cold-treated bulbs and grow as annuals. A few cultivars are suited to perennial warmer growth. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection, mostly hybrids of Tulipa greigii, a native of Tajikistan.



	



	fragrant



	 - Some cultivars are fragrant.



	



	



	



	Special uses:"
1520335579-7250,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Monkshood, azure",http://www.gardening.cornell.edu/homegardening/scene0939.html,images/garden/photos_garden/Ranunculaceae/Aconitum/carmichaelii/whole_thumb.jpg,Azure Monkshood brings showy spikes of attractive purple-blue flowers to the shady parts of your garden.,full sun,requires well-drained soil,"Keep the soil moist but not soggy.Deadhead to encourage secondary flowering.  Cut back to leaves at the base when finished flowering.Most varieties need staking.  To reduce flower height and delay blooming, cut established plants back by half when they are about 18 inches tall.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - China



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335520-7221,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Salvia, Blue",http://www.gardening.cornell.edu/homegardening/scene4695.html,images/garden/photos_garden/Lamiaceae/Salvia/farinacea/whole_thumb.jpg,"At home in the herb or annual garden, the silvery purple flowers of this fragrant plant are borne on tall, erect spikes.  Blooms well into the fall.",full sun,requires well-drained soil,"Deadhead to encourage more blooming and to prevent self-sowing.



	



	



	","Tolerates:



	



	



	frost



	



	



		



		



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		 - Self-seeds some, but is rarely a problem.



		non-invasive



		



		



	



	native to North America



	 - Southwestern North America



	



	fragrant



	 - Foliage has a light, pleasant fragrance.



	



	



	



	Special uses:"
1520335583-7252,http://www.gardening.cornell.edu/homegardening/scenee139.html,Mirabilis,http://www.gardening.cornell.edu/homegardening/scene1d6d.html,images/garden/photos_garden/Nyctaginaceae/Mirabilis/jalapa/whole_thumb.jpg,"Four O’Clocks bring jazz to the nighttime garden with vivid flowers in shades of yellow, pink, purple, red and white.  Plants have a thick taproot that helps them survive dry conditions.",full sun,tolerates droughty soil,"Keep soil moist for abundant bloom, but plants will tolerate dry conditions.



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		 - Not aggressive in the North, may be aggressive in warmer climates south of Washington DC. 



		non-invasive



		



		



	



	not native to North America



	 - Tropical Americas



	



	fragrant



	



	



	







	Attracts:



	



	beneficial insects



	 - The flowers attract moths.



	



	hummingbirds



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335429-7177,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Peony-Flowered cultivars",http://www.gardening.cornell.edu/homegardening/scene46e0.html,images/garden/photos_garden/Liliaceae/Tulipa/sp/peony_flowered_double_late_cultivars/flower_thumb.jpg,"Lush and showy, Peony-Flowered Tulips have bowl-shaped, fully double large blooms. They may be a single color, or vividly marked with stripes, flames, feathers, or colored margins.",full sun,requires well-drained soil,"Remove faded flowers, and do not remove the foliage until it has yellowed and begun to die back (up to 6 weeks). These tulips do not perform well in Zones 7 to 9. To grow in these Zones, purchase cold-treated bulbs and grow as annuals. A few cultivars are suited to perennial warmer growth. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - products of horticultural selection



	



	fragrant



	 - Some cultivars are fragrant.



	



	



	



	Special uses:



	



	



	cut flowers"
1520335497-7210,http://www.gardening.cornell.edu/homegardening/scenee139.html,Snow in Summer,http://www.gardening.cornell.edu/homegardening/scenef96a.html,images/garden/photos_garden/Caryophyllaceae/Cerastium/tomentosum/whole_thumb.jpg,"Forms rampant, dense mats of silvery-gray foliage dotted with star-like silvery-white blooms.  Grows well in any well-drained soil with full sun, making a good groundcover for sunny, sandy sites.",full sun,tolerates droughty soil,"Cut back severely after flowering has finished.Do not prune in fall.  Remove damaged stems in spring.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - This plant spreads rapidly and can easily engulf and choke out more delicate alpines and rock garden plants.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe."
1520336327-7329,http://www.gardening.cornell.edu/homegardening/scenee139.html,Dusty Miller,http://www.gardening.cornell.edu/homegardening/scene58a1.html,images/garden/photos_garden/Asteraceae/Senecio/cineraria/whole_thumb.jpg,"Dusty Miller’s unusual silvery gray/white foliage provides attractive contrast to bold-colored garden flowers. Its leaves can be entire, deeply lobed, or intricately lacy.  Easy to find at retail outlets.  Prefers cool weather.",full sun,tolerates droughty soil,"Pinch off flowers to keep plants bushy.



	



	



	","Tolerates:



	



	



	frost - Tolerates light frost. 



	



	



		



		



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to the Mediterranean.



	



	



	



	



	



	Special uses:



	



	



	



	dried flowers - In the fall, cut the plants off at their bases and dry them in a warm, dry place for use in arrangements."
1520335596-7258,http://www.gardening.cornell.edu/homegardening/scenee139.html,Love Lies Bleeding,http://www.gardening.cornell.edu/homegardening/scenefe10.html,images/garden/photos_garden/Amaranthaceae/Amaranthus/caudatus/whole_thumb.jpg,"Bold and unusual, Love-Lies-Bleeding provides a powerful garden statement with its large size and cascading tassels of flowers.",full sun,null,"Even though this plant tolerates poor soil, keep it watered during summer dry spells.



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Africa, India and Peru



	



	



	



	



	



	Special uses:



	



	



	



	dried flowers - While they dry quite easily, the red color will not persist in the dried state,but will turn a bronze or light brown color.



	



	



	



	



	edible landscaping



	



	



	direct-seeding"
1520335639-7279,http://www.gardening.cornell.edu/homegardening/scenee139.html,Jacob’s Ladder,http://www.gardening.cornell.edu/homegardening/scene742f.html,images/garden/photos_garden/Polemoniaceae/Polemonium/caeruleum/whole_thumb.jpg,"With fernlike, pinnate foliage and spikes of tiny, nodding, bell-like blue blooms, Jacob’s Ladder is a dainty and attractive garden favorite.",full sun,requires well-drained soil,"May require staking. Deadhead faded flower stalks to keep plants looking tidy (they tend to fade out late in the season) and to prevent reseeding.  Some reseeding may be desirable as plants tend to be short-lived in warm areas.Cutting back plants to basal foliage after flowering may produce some later reblooming.Plants seldom need division.  Divide in late summer as needed to propagate.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		 - May reseed some.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe, Asia."
